0;17;831;7;285;50000
1;989;961;70;673;50000
2;237;716;105;352;50000
3;422;866;565;617;50000
4;689;355;124;389;50000
5;408;743;67;406;50000
6;402;788;599;596;50000
7;984;394;432;603;50000
8;739;497;685;640;50000
9;614;951;59;541;50000
10;883;265;564;570;50000
11;193;595;648;478;50000
12;436;245;32;237;50000
13;359;879;879;705;50000
14;405;614;988;669;50000
15;422;558;229;403;50000
16;183;468;647;432;50000
17;983;331;731;681;50000
18;350;202;344;298;50000
19;185;211;61;152;50000
20;978;223;484;561;50000
21;767;990;179;645;50000
22;599;200;755;518;50000
23;16;957;776;583;50000
24;802;890;831;841;50000
25;971;630;316;639;50000
26;15;195;405;205;50000
27;531;678;332;513;50000
28;438;302;812;517;50000
29;261;73;67;133;50000
30;954;889;416;753;50000
31;531;941;557;676;50000
32;772;729;690;730;50000
33;590;35;734;453;50000
34;407;230;86;241;50000
35;32;783;247;354;50000
36;435;619;976;676;50000
37;6;757;666;476;50000
38;5;575;51;210;50000
39;566;383;250;399;50000
40;813;728;184;575;50000
41;734;673;826;744;50000
42;681;457;147;428;50000
43;404;312;180;298;50000
44;954;182;742;626;50000
45;961;234;33;409;50000
46;337;718;913;656;50000
47;868;987;903;919;50000
48;849;583;456;629;50000
49;665;419;4;362;50000
50;50;806;546;467;50000
51;334;65;236;211;50000
52;634;961;846;813;50000
53;630;575;858;687;50000
54;146;270;974;463;50000
55;245;89;470;268;50000
56;524;701;85;436;50000
57;124;559;809;497;50000
58;614;283;106;334;50000
59;507;360;299;388;50000
60;612;269;422;434;50000
61;498;99;667;421;50000
62;985;116;117;406;50000
63;616;668;24;436;50000
64;438;21;247;235;50000
65;755;724;207;562;50000
66;915;867;263;681;50000
67;904;698;297;633;50000
68;949;505;242;565;50000
69;154;118;231;167;50000
70;203;199;827;409;50000
71;802;822;565;729;50000
72;363;394;454;403;50000
73;695;471;739;635;50000
74;260;846;159;421;50000
75;523;722;447;564;50000
76;737;473;384;531;50000
77;890;738;289;639;50000
78;409;701;212;440;50000
79;463;853;516;610;50000
80;154;900;613;555;50000
81;804;514;691;669;50000
82;346;15;657;339;50000
83;366;840;452;552;50000
84;227;372;914;504;50000
85;192;896;104;397;50000
86;857;650;387;631;50000
87;493;667;911;690;50000
88;475;927;559;653;50000
